584,7,,,,,,
Team1,Team2,Venue,Home Team,Start Time,Toss winner,Toss winner's decision,Match Winner
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Kochi Tuskers Kerala,Chennai Super Kings,Nehru Stadium,Team 1,8pm,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Team 1,4pm,Deccan Chargers,bat,Deccan Chargers
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Team 1,8pm,NA,NA,NA
Mumbai Indians,Pune Warriors,Wankhede Stadium,Team 1,4pm,Pune Warriors,bat,Mumbai Indians
Kolkata Knight Riders,Kochi Tuskers Kerala,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kochi Tuskers Kerala
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Rajasthan Royals,field,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Team 1,4pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Team 1,8pm,Chennai Super Kings,field,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Team 1,8pm,Kings XI Punjab,field,Delhi Daredevils
Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Deccan Chargers,field,Mumbai Indians
Rajasthan Royals,Kochi Tuskers Kerala,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Pune Warriors,field,Chennai Super Kings
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy,Team 1,4pm,Pune Warriors,bat,Chennai Super Kings
Kochi Tuskers Kerala,Deccan Chargers,Nehru Stadium,Team 1,8pm,Kochi Tuskers Kerala,field,Deccan Chargers
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,field,Kolkata Knight Riders
