Team Name,Player Name,Role,Matches Played,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy,Bowling Strike Rate
Royal Challengers Bangalore,Shane Watson,Allrounder,94,32.7,140.7,26.98,7.71,20.98
Royal Challengers Bangalore,David Wiese,Allrounder,15,31.75,141.11,25.12,8.67,17.37
Royal Challengers Bangalore,Tabraiz Shamsi,Bowler,4,0,0,49,9.18,32
Royal Challengers Bangalore,Chris Jordan,Bowler,9,3,75,23.45,9.21,15.27
Royal Challengers Bangalore,Average,,,22.72190476,128.6430435,36.27571429,8.076666667,26.53095238
,,,,,,,,
Sunrisers Hyderabad,David Warner,Batsman,100,38.32,142.2,0,0,0
Sunrisers Hyderabad,Ashish Reddy,Bowler,31,18.66,145.07,21.41,8.95,14.35
Sunrisers Hyderabad,Bipul Sharma,Allrounder,26,22.28,157.57,31.64,8.1,23.42
Sunrisers Hyderabad,Trent Boult,Bowler,8,0,0,27.5,8.59,19.2
Sunrisers Hyderabad,Ben Cutting,Allrounder,5,24.33,182.5,18.5,7.31,15.16
Sunrisers Hyderabad,Shikhar Dhawan,Batsman,113,32.1,121.05,16.5,8.25,12
Sunrisers Hyderabad,Moises Henriques,Allrounder,45,24.71,125.13,26.91,8.01,20.16
Sunrisers Hyderabad,Deepak Hooda,Allrounder,31,12.82,136.57,56.5,8.02,42.25
Sunrisers Hyderabad,Siddarth Kaul,Bowler,11,0,81.81,49.33,8.49,34.83
Sunrisers Hyderabad,Bhuvneshwar Kumar,Bowler,76,8.55,100.65,23.17,7.09,19.61
Sunrisers Hyderabad,Abhimanyu Mithun,Bowler,16,6.8,130.76,67.42,9.83,41.14
Sunrisers Hyderabad,Eoin Morgan,Batsman,48,21.91,122.7,0,0,0
Sunrisers Hyderabad,Mustafizur Rahman,Bowler,16,0,0,24.76,6.9,21.52
Sunrisers Hyderabad,Ashish Nehra,Bowler,82,5.85,66.12,23.44,7.74,18.17
Sunrisers Hyderabad,Naman Ojha,Batsman,98,21.05,118.48,0,0,0
Sunrisers Hyderabad,Karn Sharma,Allrounder,46,19.07,116.08,30.8,7.82,23.61
Sunrisers Hyderabad,Barinder Sran,Bowler,15,0,100,32,8.53,22.5
Sunrisers Hyderabad,Tirumalasetti Suman,Batsman,43,21.12,117.56,32.83,7.88,25
Sunrisers Hyderabad,Aditya Tare,Batsman,32,15.28,128.4,0,0,0
Sunrisers Hyderabad,Kane Williamson,Batsman,8,22.14,104.02,0,7,0
Sunrisers Hyderabad,Yuvraj Singh,Allrounder,108,25.38,130.08,29.48,7.32,24.14
Sunrisers Hyderabad,Average,,,20.02176471,122.4605263,32.011875,7.99,23.56625
